Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
2719.6328125000,3,4414.1025390625,3045.7692871094,7284.6152343750,6380.6411132813,4873.2050781250,3123.7180175781,1445.6409912109,8015.2563476563,5258.0771484375,7486.9228515625,5098.9741210938,5431.1538085938,5249.7436523438,7937.1796875000,6609.4873046875,5723.5898437500,,,
2719.6406250000,3,312.8204956055,3567.4357910156,73.2051162720,589.3589477539,6121.7949218750,7271.4101562500,1283.0769042969,1703.4615478516,3812.9487304688,3600.8974609375,851.7948608398,3341.6667480469,1056.0256347656,1210.7691650391,6524.6152343750,5819.2309570313,,,
2719.6484375000,3,5408.7177734375,1888.9743652344,713.3333129883,4244.4873046875,8201.6669921875,7768.3334960938,3511.0256347656,911.2820434570,5665.6411132813,260.1282043457,4967.4360351563,6209.6152343750,3745.5129394531,3112.8205566406,2645.3845214844,6078.2050781250,,,
2719.6562500000,3,6094.7436523438,494.3589782715,3642.9487304688,511.2820434570,6326.7949218750,1475.6409912109,4052.1794433594,7414.4873046875,3558.3332519531,7120.7690429688,4056.6667480469,8219.8720703125,6026.4101562500,5755.5126953125,6242.4360351563,7771.0258789063,,,
2719.6640625000,3,6922.9487304688,1875.6409912109,5577.9487304688,6711.7949218750,350.2564086914,1215.8974609375,7923.7177734375,7693.2050781250,763.7179565430,5597.9487304688,5384.3588867188,6637.9487304688,6511.9228515625,6186.2822265625,5484.2309570313,61.5384521484,,,
2719.6718750000,3,2129.7436523438,1791.2821044922,3606.9230957031,1186.6666259766,1564.6153564453,6672.4360351563,7210.1284179688,2473.7180175781,2857.1794433594,1507.3077392578,6740.0000000000,3650.3845214844,7006.9228515625,8020.5126953125,7911.4101562500,1274.3590087891,,,
2719.6796875000,3,1451.9230957031,2681.7949218750,3475.6411132813,7492.5639648438,5495.5126953125,6973.2050781250,679.1025390625,7525.8974609375,5735.5126953125,2186.2819824219,2602.9487304688,2765.8974609375,7273.9746093750,7055.5126953125,2178.0769042969,5104.7436523438,,,
2719.6875000000,3,2365.0000000000,5108.9741210938,541.2820434570,4199.1025390625,4509.4873046875,6427.0512695313,6400.8974609375,7165.6411132813,5162.0512695313,2496.9230957031,8293.4619140625,3368.2050781250,7966.6665039063,5601.9228515625,6989.3588867188,1278.4615478516,,,
2719.6953125000,3,7490.0000000000,6572.3076171875,1621.2821044922,4279.3588867188,6972.1796875000,4359.1025390625,1410.3846435547,3663.5898437500,3384.3588867188,3668.4614257813,4700.2563476563,3756.6667480469,2951.2819824219,5279.1025390625,880.2564086914,6278.7177734375,,,
2719.7031250000,3,6282.8203125000,8100.3847656250,4293.9741210938,4501.5385742188,4628.8461914063,8223.7177734375,1373.7178955078,2413.4614257813,1315.3846435547,1582.6922607422,3956.0256347656,4714.3588867188,5568.7177734375,4195.6411132813,1886.2821044922,5006.5385742188,,,
2719.7109375000,3,6807.8203125000,7411.0258789063,5689.4873046875,123.2051162720,7141.7949218750,8146.2822265625,3382.9487304688,4375.2563476563,5335.8974609375,7045.0000000000,5180.5126953125,4085.3845214844,6810.8974609375,7031.1538085938,4151.5385742188,1494.8718261719,,,
2719.7187500000,3,5152.3076171875,3303.3332519531,2851.0256347656,4550.5126953125,1283.8461914063,858.3333129883,1193.5897216797,5578.7177734375,4571.1538085938,2707.3076171875,1544.2307128906,1245.6409912109,110.8974304199,4536.7949218750,1975.5128173828,7790.0000000000,,,
2719.7265625000,3,1566.5384521484,339.6153869629,1535.1281738281,1416.5384521484,2488.9743652344,36.1538391113,8053.5898437500,8346.1542968750,4746.5385742188,889.7435913086,1346.7949218750,5521.9228515625,2750.6411132813,6067.6923828125,2336.6667480469,88.5897369385,,,
2719.7343750000,3,1099.1025390625,7384.2309570313,4678.2050781250,2107.6923828125,1067.9487304688,4629.8715820313,6389.6152343750,3970.5129394531,1598.4615478516,4054.6154785156,6432.1796875000,5692.0512695313,6145.2563476563,3651.9230957031,5205.3847656250,244.9999847412,,,
2719.7421875000,3,688.7179565430,6948.7177734375,3058.5898437500,8053.7177734375,2146.5385742188,1066.1538085938,1514.6153564453,2998.9743652344,1255.2563476563,5124.7436523438,139.1025543213,2900.2563476563,2418.3332519531,3728.0769042969,2661.4101562500,1772.4359130859,,,
2719.7500000000,3,6942.6923828125,1723.7178955078,8358.9746093750,2771.5385742188,6822.6923828125,1845.5128173828,2321.0256347656,72.6922988892,7838.7177734375,3923.3332519531,7771.9228515625,781.9230957031,4935.8974609375,1918.3333740234,2762.3076171875,3496.5385742188,,,
2719.7578125000,3,7778.2050781250,1103.4615478516,6060.7690429688,4165.0000000000,4050.7692871094,3341.5385742188,5084.1025390625,6656.6665039063,6485.7690429688,2063.2050781250,581.6666870117,2499.1025390625,5176.0258789063,7668.8461914063,6883.0771484375,2530.7692871094,,,
2719.7656250000,3,6081.1538085938,1136.7949218750,1706.6666259766,5497.5639648438,679.8717651367,2521.4101562500,8401.0253906250,3977.9487304688,5158.3334960938,2296.7949218750,2847.6923828125,7966.0258789063,4489.6152343750,6640.0000000000,2833.0769042969,7186.4101562500,,,
2719.7734375000,3,1674.7435302734,7842.4360351563,2035.1281738281,6131.2822265625,4339.4873046875,3822.3076171875,6693.7177734375,3415.0000000000,3566.5385742188,7521.7949218750,947.1795043945,8180.2563476563,4544.6152343750,6164.1025390625,1724.2307128906,4115.2563476563,,,
2719.7812500000,3,700.1281738281,5683.0771484375,4468.4614257813,7268.5898437500,3756.0256347656,231.9230651855,5700.5126953125,7351.2822265625,3902.5642089844,742.5640869141,4515.1284179688,3757.9487304688,8112.3076171875,6588.2050781250,8375.7695312500,6265.3847656250,,,
2719.7890625000,3,2301.4101562500,436.5384521484,2146.2819824219,228.5897369385,72.3076858521,2828.4614257813,957.9487304688,6295.5126953125,3951.1538085938,8353.5898437500,1835.0000000000,7714.8715820313,7741.0258789063,7131.4101562500,4023.4614257813,3453.5898437500,,,
2719.7968750000,3,8.7179393768,7496.0258789063,4388.0771484375,7818.4614257813,5553.5898437500,3822.3076171875,2998.3332519531,8209.2304687500,3159.1025390625,2304.8718261719,256.4102478027,5482.5639648438,3308.8461914063,5704.6152343750,6954.1025390625,7614.8715820313,,,
2719.8046875000,3,5340.6411132813,6473.3334960938,61.4102478027,907.5640869141,6030.2563476563,1965.5128173828,6514.2309570313,7060.5126953125,1109.6153564453,6876.1538085938,2624.8718261719,3497.5642089844,3296.6667480469,3917.9487304688,1051.4102783203,6916.5385742188,,,
2719.8125000000,3,2993.8461914063,244.8717803955,1576.5384521484,1166.2821044922,7549.2309570313,458.7179260254,209.7435760498,2700.7692871094,2486.0256347656,8393.5898437500,4249.8715820313,5505.6411132813,5665.0000000000,8199.2304687500,6681.1538085938,5732.1796875000,,,
2719.8203125000,3,2343.4614257813,2777.4357910156,2830.6411132813,13.7179393768,6657.5639648438,5507.1796875000,8119.4873046875,522.8204956055,1872.1794433594,8189.2309570313,2205.8974609375,5180.0000000000,3603.2050781250,1494.7435302734,6622.1796875000,2574.6154785156,,,
2719.8281250000,3,7075.2563476563,8323.5898437500,282.6922912598,6589.2309570313,3877.6923828125,1061.7949218750,3128.8461914063,4115.2563476563,6828.7177734375,8171.0258789063,3208.0769042969,3885.8974609375,7793.8461914063,536.6666870117,2467.9487304688,3292.3076171875,,,
2719.8359375000,3,7243.5898437500,1404.8718261719,997.0512695313,1963.4615478516,7140.0000000000,4024.4870605469,7941.5385742188,2380.6411132813,7035.7690429688,7636.2822265625,8383.3330078125,2723.2050781250,543.8461303711,6529.7436523438,751.7948608398,8280.6406250000,,,
2719.8437500000,3,4070.6411132813,179.8717803955,5676.4101562500,4434.2309570313,616.1538085938,961.2820434570,4927.6923828125,1930.5128173828,138.3333282471,2146.7949218750,979.4871826172,6339.1025390625,3579.3588867188,323.0769042969,1806.9230957031,2474.3588867188,,,
2719.8515625000,3,6750.5126953125,1139.7435302734,971.4102783203,3845.0000000000,220.2564086914,743.4615478516,6787.3076171875,1232.6922607422,7769.7436523438,2130.7692871094,2920.7692871094,3663.5898437500,6934.6152343750,6685.0000000000,582.5640869141,6831.4101562500,,,
2719.8593750000,3,7401.2822265625,2291.9230957031,8385.8974609375,2337.3076171875,6165.1284179688,7286.4101562500,1196.4102783203,7069.8715820313,7415.7690429688,2216.0256347656,3546.6667480469,6097.6923828125,8025.5126953125,6685.1284179688,612.9487304688,7024.3588867188,,,
2719.8671875000,3,1338.5897216797,4064.3588867188,940.3845825195,5238.4614257813,5148.4614257813,2640.1281738281,3372.4357910156,1358.5897216797,7695.2563476563,7895.0000000000,2446.7949218750,2123.9743652344,2504.8718261719,5497.5639648438,2469.4870605469,1389.6153564453,,,
2719.8750000000,3,7896.9228515625,1115.5128173828,4773.7177734375,4789.1025390625,6480.0000000000,4254.2309570313,2018.3333740234,1312.4359130859,3453.9743652344,3083.3332519531,3171.4101562500,1045.3846435547,1775.6409912109,1417.3077392578,668.5897216797,7668.4614257813,,,
2719.8828125000,3,2836.9230957031,5582.3076171875,3074.1025390625,7034.8715820313,3337.0512695313,4003.8461914063,801.7948608398,6991.2822265625,1142.9487304688,6865.6411132813,1458.4615478516,841.5384521484,6332.3076171875,6335.5126953125,2932.8205566406,6301.9228515625,,,
2719.8906250000,3,537.4359130859,1102.9487304688,3410.0000000000,5717.0512695313,7734.1025390625,3980.6411132813,2388.2050781250,8211.7949218750,5445.2563476563,7996.2822265625,4007.8205566406,8367.6923828125,873.4615478516,2173.9743652344,5555.1284179688,5056.4101562500,,,
2719.8984375000,3,6134.8715820313,2521.2819824219,4110.1284179688,2288.3332519531,552.3076782227,4603.4614257813,1905.2563476563,4182.1796875000,2447.3076171875,6765.2563476563,1973.9743652344,5666.7949218750,4650.2563476563,1577.9487304688,3287.5642089844,4653.0771484375,,,
2719.9062500000,3,8392.6923828125,1370.8974609375,1660.3846435547,1970.0000000000,6695.1284179688,5941.4101562500,7476.2822265625,5400.6411132813,7991.6665039063,5139.8715820313,4503.0771484375,3487.0512695313,3745.7692871094,4485.3847656250,6083.3334960938,7483.4614257813,,,
2719.9140625000,3,6320.5126953125,7660.0000000000,6638.8461914063,7749.7436523438,5864.6152343750,3973.9743652344,6138.5898437500,5181.1538085938,7872.9487304688,5943.2050781250,6086.0258789063,1315.3846435547,8089.8715820313,7947.1796875000,3087.3076171875,3417.0512695313,,,
2719.9218750000,3,7216.5385742188,5382.5639648438,1334.4871826172,6297.1796875000,1279.6153564453,386.1538391113,7070.6411132813,7111.6665039063,5734.7436523438,6623.5898437500,6903.2050781250,354.4871826172,6534.6152343750,5293.7177734375,5688.7177734375,2000.5128173828,,,
2719.9296875000,3,2273.4614257813,6639.1025390625,6860.8974609375,7091.7949218750,7047.4360351563,8302.9482421875,3970.3845214844,4573.4614257813,1640.6409912109,5390.6411132813,3169.7436523438,2220.7692871094,8330.1279296875,4096.9228515625,1894.2307128906,1839.4871826172,,,
2719.9375000000,3,7534.1025390625,2218.2050781250,639.2307739258,2884.8718261719,2750.1281738281,541.0256347656,2965.8974609375,4980.7690429688,4652.5639648438,8271.9228515625,6624.7436523438,5959.6152343750,6854.4873046875,963.5897216797,5996.2822265625,1129.2307128906,,,
2719.9453125000,3,3579.1025390625,6532.9487304688,2080.6411132813,6414.7436523438,6978.2050781250,3926.5385742188,7541.2822265625,3355.2563476563,6368.4614257813,4769.1025390625,1323.3333740234,5762.4360351563,2803.3332519531,7575.3847656250,7618.0771484375,6726.6665039063,,,
2719.9531250000,3,5986.4101562500,1884.8718261719,7820.1284179688,8038.7177734375,6461.0258789063,2342.4357910156,5486.5385742188,6281.1538085938,575.0000000000,8100.6411132813,4546.2822265625,2344.8718261719,3018.3332519531,3086.2819824219,5766.0258789063,6276.7949218750,,,
2719.9609375000,3,538.9743652344,1070.2563476563,1910.5128173828,3805.0000000000,7938.2050781250,8305.6406250000,7200.6411132813,356.5384521484,1120.1281738281,5438.7177734375,2235.5126953125,5811.0258789063,930.5128173828,6339.6152343750,3088.3332519531,3108.5898437500,,,
