Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
710.328125,0,1789.4871826172,6415.5126953125,4669.2309570313,2969.2307128906,279.4871826172,7571.2822265625,5543.9741210938,7510.8974609375,281.7948608398,1181.6666259766,1483.7178955078,742.9487304688,901.0256347656,3106.5385742188,720.5128173828,3624.4870605469,Lamp,audio,get_ready
710.3359375,0,6911.5385742188,3406.2819824219,7500.6411132813,4234.3588867188,4180.6411132813,5813.3334960938,5618.4614257813,2218.3332519531,4102.0512695313,1291.0256347656,5619.615234375,846.0256347656,3593.4614257813,3088.205078125,7065.384765625,1212.1794433594,Lamp,audio,get_ready
710.34375,0,3565.5129394531,1986.0256347656,461.5384521484,2216.5385742188,796.1538085938,8240.384765625,5825.2563476563,1216.0256347656,6016.1538085938,4448.58984375,6843.0771484375,8160.7690429688,6467.6923828125,8346.2822265625,1278.205078125,7742.0512695313,Lamp,audio,get_ready
710.3515625,0,2044.1025390625,3417.9487304688,5595.8974609375,6910.6411132813,1081.4102783203,5685.0,4648.58984375,1000.6409912109,6183.8461914063,7227.5639648438,1297.8205566406,7963.0771484375,8209.23046875,4922.5639648438,1642.1794433594,5565.0,Lamp,audio,get_ready
710.359375,0,461.9230651855,1437.5640869141,5930.8974609375,7809.1025390625,5178.9741210938,4969.4873046875,734.6153564453,7196.9228515625,1716.9230957031,7719.7436523438,1265.1281738281,1377.6922607422,3783.58984375,3215.7692871094,91.6666564941,2144.8718261719,Lamp,audio,get_ready
710.3671875,0,8178.3334960938,2900.0,7060.384765625,6162.4360351563,2677.8205566406,7890.6411132813,2021.0256347656,4064.2307128906,2738.58984375,386.1538391113,7849.8715820313,4832.6923828125,3343.7180175781,4466.1538085938,1991.1538085938,6098.3334960938,Lamp,audio,get_ready
710.375,0,3356.9230957031,1724.8718261719,4768.3334960938,1909.7435302734,2719.1025390625,7177.9487304688,1209.4871826172,1502.9487304688,3741.2819824219,730.6409912109,8365.5126953125,8168.974609375,5233.205078125,1758.3333740234,5406.1538085938,6980.1284179688,Lamp,audio,get_ready
710.3828125,0,1802.8205566406,6113.205078125,5943.9741210938,2316.794921875,6457.6923828125,1668.205078125,1229.2307128906,5510.0,8169.4873046875,5603.0771484375,1295.5128173828,407.9486999512,8262.3076171875,8136.5385742188,2957.9487304688,376.6666564941,Lamp,audio,get_ready
710.390625,0,3107.3076171875,7117.4360351563,4622.9487304688,1187.4359130859,6278.4614257813,8197.1796875,3753.0769042969,1317.8205566406,5178.7177734375,5209.7436523438,602.8204956055,2968.4614257813,6592.3076171875,4053.3332519531,1019.8717651367,1348.9743652344,Lamp,audio,get_ready
710.3984375,0,1020.6409912109,7188.4614257813,6894.7436523438,6054.7436523438,827.1795043945,6390.1284179688,7762.1796875,4128.9741210938,3114.2307128906,7306.0258789063,5763.8461914063,5132.5639648438,3854.1025390625,8325.0,7908.3334960938,6846.1538085938,Lamp,audio,get_ready
